Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,FI_FSI_FSANL,,,,PT,26.3
2016,FI_FSI_FSANL,,,,PT,47.6
2017,FI_FSI_FSANL,,,,PT,36.5
2018,FI_FSI_FSANL,,,,PT,31.1
2019,FI_FSI_FSANL,,,,PT,27.0
2020,FI_FSI_FSANL,,,,PT,23.8
2015,FI_FSI_FSERA,,,,PT,0.8
2017,FI_FSI_FSERA,,,,PT,0.5
2018,FI_FSI_FSERA,,,,PT,1.9
2019,FI_FSI_FSERA,,,,PT,2.1
2020,FI_FSI_FSERA,,,,PT,2.5
2015,FI_FSI_FSLS,,,,PT,70.4
2016,FI_FSI_FSLS,,,,PT,83.9
2017,FI_FSI_FSLS,,,,PT,73.8
2018,FI_FSI_FSLS,,,,PT,72.3
2019,FI_FSI_FSLS,,,,PT,67.4
2020,FI_FSI_FSLS,,,,PT,70.5
